Y [ m ],Density [ kg m^-3 ]
0.00000000e+00, 2.54912794e-01
1.69038467e-04, 2.54899710e-01
3.38076934e-04, 2.54873276e-01
5.07115386e-04, 2.54787624e-01
6.76153868e-04, 2.54677832e-01
8.45192350e-04, 2.54550427e-01
1.01423077e-03, 2.54404336e-01
1.18326920e-03, 2.54243553e-01
1.35230762e-03, 2.54066050e-01
1.52134604e-03, 2.53873587e-01
1.69038447e-03, 2.53663719e-01
1.85942289e-03, 2.53436029e-01
2.02846131e-03, 2.53190577e-01
2.19749985e-03, 2.52927423e-01
2.36653839e-03, 2.52648443e-01
2.53557693e-03, 2.52354652e-01
2.70461547e-03, 2.52050042e-01
2.87365401e-03, 2.51734495e-01
3.04269255e-03, 2.51414448e-01
3.21173109e-03, 2.51086533e-01
3.38076963e-03, 2.50758886e-01
3.54980817e-03, 2.50423998e-01
3.71884671e-03, 2.50092298e-01
3.88788525e-03, 2.49753043e-01
4.05692356e-03, 2.49418125e-01
4.22596186e-03, 2.49075174e-01
4.39500017e-03, 2.48737425e-01
4.56403848e-03, 2.48392254e-01
4.73307678e-03, 2.48053938e-01
4.90211509e-03, 2.47711197e-01
5.07115340e-03, 2.47377768e-01
5.24019171e-03, 2.47042790e-01
5.40923001e-03, 2.46718496e-01
5.57826832e-03, 2.46395409e-01
5.74730663e-03, 2.46082529e-01
5.91634493e-03, 2.45773584e-01
6.08538324e-03, 2.45474011e-01
6.25442155e-03, 2.45181635e-01
6.42345985e-03, 2.44897634e-01
6.59249816e-03, 2.44623646e-01
6.76153647e-03, 2.44356662e-01
6.93057477e-03, 2.44101584e-01
7.09961308e-03, 2.43851751e-01
7.26865139e-03, 2.43614987e-01
7.43768970e-03, 2.43381277e-01
7.60672800e-03, 2.43160993e-01
7.77576631e-03, 2.42941946e-01
7.94480462e-03, 2.42736205e-01
8.11384339e-03, 2.42530212e-01
8.28288216e-03, 2.42337421e-01
8.45192093e-03, 2.42143527e-01
8.62095971e-03, 2.41963372e-01
8.78999848e-03, 2.41783455e-01
8.95903725e-03, 2.41619423e-01
9.12807602e-03, 2.41458908e-01
9.29711480e-03, 2.41319209e-01
9.46615357e-03, 2.41188034e-01
9.63519234e-03, 2.41082966e-01
9.80423111e-03, 2.40991965e-01
9.97326989e-03, 2.40928441e-01
1.01423087e-02, 2.40880758e-01
1.03113474e-02, 2.40854993e-01
1.04803862e-02, 2.40837723e-01
1.06494250e-02, 2.40828887e-01
1.08184638e-02, 2.40807369e-01
1.09875025e-02, 2.40776733e-01
1.11565413e-02, 2.40703046e-01
1.13255801e-02, 2.40606546e-01
1.14946188e-02, 2.40448400e-01
1.16636576e-02, 2.40267336e-01
1.18326964e-02, 2.40059182e-01
1.20017352e-02, 2.39843667e-01
1.21707739e-02, 2.39738151e-01
1.23398127e-02, 2.39645004e-01
1.25088515e-02, 2.39922285e-01
1.26778902e-02, 2.40245193e-01
1.28469290e-02, 2.41167903e-01
1.30159678e-02, 2.42207915e-01
1.31850066e-02, 2.43983045e-01
1.33540453e-02, 2.45934233e-01
1.35230841e-02, 2.48509273e-01
1.36921229e-02, 2.51165360e-01
1.38611617e-02, 2.53990471e-01
1.40302004e-02, 2.56668895e-01
1.41992392e-02, 2.59074867e-01
1.43682780e-02, 2.61127621e-01
1.45373167e-02, 2.62731194e-01
1.47063555e-02, 2.63883740e-01
1.48753943e-02, 2.64622658e-01
1.50444331e-02, 2.64975876e-01
1.52134718e-02, 2.65072554e-01
1.53825106e-02, 2.64986545e-01
1.55515494e-02, 2.64813811e-01
1.57205872e-02, 2.64511436e-01
1.58896260e-02, 2.64166027e-01
1.60586648e-02, 2.62727767e-01
1.62277035e-02, 2.61068255e-01
1.63967423e-02, 2.50913501e-01
1.65657811e-02, 2.39914104e-01
1.67348199e-02, 2.17258871e-01
1.69038586e-02, 1.94518343e-01
1.70728974e-02, 1.73297226e-01
1.72419362e-02, 1.67887628e-01
1.74109749e-02, 2.52573222e-01
1.75800137e-02, 4.14670467e-01


