Y [ m ],Pressure [ Pa ]
0.00000000e+00, 6.95910781e+04
1.69038467e-04, 6.95865000e+04
3.38076934e-04, 6.95771406e+04
5.07115386e-04, 6.95451484e+04
6.76153868e-04, 6.95032656e+04
8.45192350e-04, 6.94495469e+04
1.01423077e-03, 6.93866563e+04
1.18326920e-03, 6.93130703e+04
1.35230762e-03, 6.92310547e+04
1.52134604e-03, 6.91404688e+04
1.69038447e-03, 6.90427266e+04
1.85942289e-03, 6.89384688e+04
2.02846131e-03, 6.88287344e+04
2.19749985e-03, 6.87142188e+04
2.36653839e-03, 6.85960625e+04
2.53557693e-03, 6.84744141e+04
2.70461547e-03, 6.83509688e+04
2.87365401e-03, 6.82247266e+04
3.04269255e-03, 6.80982188e+04
3.21173109e-03, 6.79692188e+04
3.38076963e-03, 6.78411875e+04
3.54980817e-03, 6.77105469e+04
3.71884671e-03, 6.75818359e+04
3.88788525e-03, 6.74503516e+04
4.05692356e-03, 6.73216172e+04
4.22596186e-03, 6.71898984e+04
4.39500017e-03, 6.70617031e+04
4.56403848e-03, 6.69308047e+04
4.73307678e-03, 6.68034531e+04
4.90211509e-03, 6.66744531e+04
5.07115340e-03, 6.65490000e+04
5.24019171e-03, 6.64228203e+04
5.40923001e-03, 6.63002813e+04
5.57826832e-03, 6.61781172e+04
5.74730663e-03, 6.60595938e+04
5.91634493e-03, 6.59425625e+04
6.08538324e-03, 6.58290781e+04
6.25442155e-03, 6.57183594e+04
6.42345985e-03, 6.56108594e+04
6.59249816e-03, 6.55072148e+04
6.76153647e-03, 6.54062773e+04
6.93057477e-03, 6.53100117e+04
7.09961308e-03, 6.52158281e+04
7.26865139e-03, 6.51268320e+04
7.43768970e-03, 6.50390898e+04
7.60672800e-03, 6.49566367e+04
7.77576631e-03, 6.48747148e+04
7.94480462e-03, 6.47978828e+04
8.11384339e-03, 6.47210039e+04
8.28288216e-03, 6.46491797e+04
8.45192093e-03, 6.45769414e+04
8.62095971e-03, 6.45100273e+04
8.78999848e-03, 6.44432383e+04
8.95903725e-03, 6.43825898e+04
9.12807602e-03, 6.43233164e+04
9.29711480e-03, 6.42719727e+04
9.46615357e-03, 6.42238359e+04
9.63519234e-03, 6.41855430e+04
9.80423111e-03, 6.41525859e+04
9.97326989e-03, 6.41300273e+04
1.01423087e-02, 6.41134883e+04
1.03113474e-02, 6.41052695e+04
1.04803862e-02, 6.41002461e+04
1.06494250e-02, 6.40983711e+04
1.08184638e-02, 6.40916602e+04
1.09875025e-02, 6.40814648e+04
1.11565413e-02, 6.40551289e+04
1.13255801e-02, 6.40202461e+04
1.14946188e-02, 6.39624961e+04
1.16636576e-02, 6.38962422e+04
1.18326964e-02, 6.38202344e+04
1.20017352e-02, 6.37415820e+04
1.21707739e-02, 6.37046953e+04
1.23398127e-02, 6.36725313e+04
1.25088515e-02, 6.37805586e+04
1.26778902e-02, 6.39057422e+04
1.28469290e-02, 6.42556328e+04
1.30159678e-02, 6.46497383e+04
1.31850066e-02, 6.53206992e+04
1.33540453e-02, 6.60591328e+04
1.35230841e-02, 6.70368203e+04
1.36921229e-02, 6.80472109e+04
1.38611617e-02, 6.91265156e+04
1.40302004e-02, 7.01520703e+04
1.41992392e-02, 7.10774453e+04
1.43682780e-02, 7.18688438e+04
1.45373167e-02, 7.24898516e+04
1.47063555e-02, 7.29365234e+04
1.48753943e-02, 7.32232734e+04
1.50444331e-02, 7.33606016e+04
1.52134718e-02, 7.33985625e+04
1.53825106e-02, 7.33637891e+04
1.55515494e-02, 7.32944844e+04
1.57205872e-02, 7.31967266e+04
1.58896260e-02, 7.30893516e+04
1.60586648e-02, 7.30582031e+04
1.62277035e-02, 7.30417031e+04
1.63967423e-02, 7.28515547e+04
1.65657811e-02, 7.26442969e+04
1.67348199e-02, 7.25487891e+04
1.69038586e-02, 7.25159844e+04
1.70728974e-02, 7.32946406e+04
1.72419362e-02, 7.42758750e+04
1.74109749e-02, 7.64013359e+04
1.75800137e-02, 8.32889531e+04


