Y [ m ],Velocity u [ m s^-1 ]
0.00000000e+00, 1.97451050e+03
1.69038467e-04, 1.97451331e+03
3.38076934e-04, 1.97451965e+03
5.07115386e-04, 1.97455347e+03
6.76153868e-04, 1.97460449e+03
8.45192350e-04, 1.97470654e+03
1.01423077e-03, 1.97483435e+03
1.18326920e-03, 1.97501050e+03
1.35230762e-03, 1.97521069e+03
1.52134604e-03, 1.97544067e+03
1.69038447e-03, 1.97568311e+03
1.85942289e-03, 1.97593066e+03
2.02846131e-03, 1.97617542e+03
2.19749985e-03, 1.97641077e+03
2.36653839e-03, 1.97663220e+03
2.53557693e-03, 1.97684143e+03
2.70461547e-03, 1.97703369e+03
2.87365401e-03, 1.97721692e+03
3.04269255e-03, 1.97738440e+03
3.21173109e-03, 1.97754810e+03
3.38076963e-03, 1.97769421e+03
3.54980817e-03, 1.97783862e+03
3.71884671e-03, 1.97796191e+03
3.88788525e-03, 1.97808447e+03
4.05692356e-03, 1.97818005e+03
4.22596186e-03, 1.97827551e+03
4.39500017e-03, 1.97834204e+03
4.56403848e-03, 1.97840723e+03
4.73307678e-03, 1.97844800e+03
4.90211509e-03, 1.97848584e+03
5.07115340e-03, 1.97850549e+03
5.24019171e-03, 1.97852051e+03
5.40923001e-03, 1.97852051e+03
5.57826832e-03, 1.97851245e+03
5.74730663e-03, 1.97848950e+03
5.91634493e-03, 1.97845520e+03
6.08538324e-03, 1.97840576e+03
6.25442155e-03, 1.97834241e+03
6.42345985e-03, 1.97826489e+03
6.59249816e-03, 1.97817212e+03
6.76153647e-03, 1.97806702e+03
6.93057477e-03, 1.97794470e+03
7.09961308e-03, 1.97781128e+03
7.26865139e-03, 1.97765894e+03
7.43768970e-03, 1.97749792e+03
7.60672800e-03, 1.97731763e+03
7.77576631e-03, 1.97712988e+03
7.94480462e-03, 1.97692383e+03
8.11384339e-03, 1.97671191e+03
8.28288216e-03, 1.97648145e+03
8.45192093e-03, 1.97624634e+03
8.62095971e-03, 1.97599231e+03
8.78999848e-03, 1.97573279e+03
8.95903725e-03, 1.97545374e+03
9.12807602e-03, 1.97516711e+03
9.29711480e-03, 1.97485950e+03
9.46615357e-03, 1.97454211e+03
9.63519234e-03, 1.97420227e+03
9.80423111e-03, 1.97384924e+03
9.97326989e-03, 1.97347424e+03
1.01423087e-02, 1.97308472e+03
1.03113474e-02, 1.97267725e+03
1.04803862e-02, 1.97225989e+03
1.06494250e-02, 1.97183289e+03
1.08184638e-02, 1.97140759e+03
1.09875025e-02, 1.97098206e+03
1.11565413e-02, 1.97057117e+03
1.13255801e-02, 1.97016675e+03
1.14946188e-02, 1.96978357e+03
1.16636576e-02, 1.96940564e+03
1.18326964e-02, 1.96903003e+03
1.20017352e-02, 1.96865210e+03
1.21707739e-02, 1.96821167e+03
1.23398127e-02, 1.96775989e+03
1.25088515e-02, 1.96712256e+03
1.26778902e-02, 1.96646082e+03
1.28469290e-02, 1.96554114e+03
1.30159678e-02, 1.96456812e+03
1.31850066e-02, 1.96328833e+03
1.33540453e-02, 1.96192664e+03
1.35230841e-02, 1.96028552e+03
1.36921229e-02, 1.95860669e+03
1.38611617e-02, 1.95685254e+03
1.40302004e-02, 1.95516028e+03
1.41992392e-02, 1.95358728e+03
1.43682780e-02, 1.95216736e+03
1.45373167e-02, 1.95094226e+03
1.47063555e-02, 1.94993323e+03
1.48753943e-02, 1.94912183e+03
1.50444331e-02, 1.94848840e+03
1.52134718e-02, 1.94797278e+03
1.53825106e-02, 1.94754407e+03
1.55515494e-02, 1.94715442e+03
1.57205872e-02, 1.94676453e+03
1.58896260e-02, 1.94637317e+03
1.60586648e-02, 1.94367639e+03
1.62277035e-02, 1.94051489e+03
1.63967423e-02, 1.91996973e+03
1.65657811e-02, 1.89769666e+03
1.67348199e-02, 1.82595154e+03
1.69038586e-02, 1.74951611e+03
1.70728974e-02, 1.62264404e+03
1.72419362e-02, 1.39553918e+03
1.74109749e-02, 6.11942993e+02
1.75800137e-02, 0.00000000e+00


