Y Location (m),Pressure (Pa)
-0.0,4134218.397117463
-0.0012155555555555557,4133170.4135109703
-0.0024311111111111113,4131545.7796924766
-0.003646666666666667,4128917.4554333193
-0.004862222222222223,4124438.0129534123
-0.006077777777777778,4116289.0483215624
-0.007293333333333334,4100156.1359626744
-0.008508888888888889,4064307.6211985676
-0.009724444444444445,3969622.3399742283
-0.01094,3622629.99125744
-0.01094,3622629.99125744
-0.01209,3340812.1908801016
-0.01324,2313643.2847759956
-0.014020000000000001,2313643.216299339
-0.0148,2313643.1683071484
-0.01595265306122449,1697126.6512208031
-0.01710530612244898,1459075.3122097393
-0.01825795918367347,1288867.464027464
-0.01941061224489796,1155179.703197395
-0.02056326530612245,1045378.7185580388
-0.02171591836734694,952750.1275322584
-0.02286857142857143,873179.6402911593
-0.02402122448979592,803915.0108770618
-0.025173877551020407,743002.3786542212
-0.026326530612244898,688994.0194405067
-0.02747918367346939,640782.1412293839
-0.028631836734693876,597497.5730754834
-0.029784489795918367,558444.5839176286
-0.030937142857142857,523057.0958551577
-0.032089795918367345,490868.21361133986
-0.03324244897959183,461488.39022086427
-0.034395102040816326,434589.3903926646
-0.035547755102040814,409892.26181665366
-0.03670040816326531,387158.1478932202
-0.037853061224489795,366181.15941290837
-0.03900571428571428,346782.7669958556
-0.04015836734693877,328807.3358598045
-0.041311020408163264,312118.53156734945
-0.04246367346938775,296596.39876261895
-0.043616326530612246,282134.9661636175
-0.04476897959183673,268640.26751906815
-0.04592163265306122,256028.69457281663
-0.047074285714285714,244225.61738094408
-0.0482269387755102,233164.2216648439
-0.04937959183673469,222784.52366297215
-0.05053224489795918,213032.531138311
-0.05168489795918367,203859.52549160802
-0.05283755102040816,195221.44480896706
-0.05399020408163265,187078.3514873798
-0.05514285714285714,179393.971089328
-0.05629551020408163,172135.2914664011
-0.05744816326530612,165272.21310254463
-0.05860081632653061,158777.24316616965
-0.059753469387755095,152625.22700539845
-0.06090612244897959,146793.1118377599
-0.06205877551020408,141259.7382150464
-0.06321142857142856,136005.65552999807
-0.06436408163265306,131012.95839715522
-0.06551673469387755,126265.14121081043
-0.06666938775510203,121746.9685756091
-0.06782204081632653,117444.35963430993
-0.06897469387755101,113344.28459388656
-0.07012734693877551,109434.67198472671
-0.07128,105704.32538551305
