Y [ m ],Density [ kg m^-3 ]
0.00000000e+00, 1.81288078e-01
2.29848491e-04, 1.81295902e-01
4.59696981e-04, 1.81320935e-01
6.89545472e-04, 1.81386098e-01
9.19393962e-04, 1.81480736e-01
1.14924251e-03, 1.81604475e-01
1.37909106e-03, 1.81749687e-01
1.60893961e-03, 1.81912526e-01
1.83878816e-03, 1.82059228e-01
2.06863671e-03, 1.82205558e-01
2.29848525e-03, 1.82305887e-01
2.52833380e-03, 1.82384536e-01
2.75818235e-03, 1.82426929e-01
2.98803090e-03, 1.82440639e-01
3.21787945e-03, 1.82438225e-01
3.44772800e-03, 1.82409108e-01
3.67757655e-03, 1.82373136e-01
3.90742486e-03, 1.82319254e-01
4.13727341e-03, 1.82260334e-01
4.36712196e-03, 1.82193696e-01
4.59697051e-03, 1.82124019e-01
4.82681906e-03, 1.82051495e-01
5.05666761e-03, 1.81979686e-01
5.28651616e-03, 1.81907386e-01
5.51636470e-03, 1.81846827e-01
5.74621325e-03, 1.81792587e-01
5.97606180e-03, 1.81755573e-01
6.20591035e-03, 1.81734353e-01
6.43575890e-03, 1.81727365e-01
6.66560745e-03, 1.81745559e-01
6.89545600e-03, 1.81771979e-01
7.12530455e-03, 1.81828886e-01
7.35515309e-03, 1.81892842e-01
7.58500164e-03, 1.81975648e-01
7.81484973e-03, 1.82069629e-01
8.04469828e-03, 1.82175770e-01
8.27454682e-03, 1.82304829e-01
8.50439537e-03, 1.82444602e-01
8.73424392e-03, 1.82647511e-01
8.96409247e-03, 1.82881951e-01
9.19394102e-03, 1.83226436e-01
9.42378957e-03, 1.83655024e-01
9.65363812e-03, 1.84196204e-01
9.88348667e-03, 1.84757411e-01
1.01133352e-02, 1.85333192e-01
1.03431838e-02, 1.85309380e-01
1.05730323e-02, 1.85019165e-01
1.08028809e-02, 1.83443964e-01
1.10327294e-02, 1.81211844e-01
1.12625780e-02, 1.77862436e-01
1.14924265e-02, 1.73796222e-01
1.17222751e-02, 1.69237301e-01
1.19521236e-02, 1.65000319e-01
1.21819722e-02, 1.60900190e-01
1.24118207e-02, 1.58215165e-01
1.26416693e-02, 1.55941367e-01
1.28715178e-02, 1.54618025e-01
1.31013663e-02, 1.53689161e-01
1.33312149e-02, 1.53087407e-01
1.35610634e-02, 1.52629703e-01
1.37909120e-02, 1.52207553e-01
1.40207605e-02, 1.51736885e-01
1.42506091e-02, 1.51245743e-01
1.44804576e-02, 1.50704384e-01
1.47103062e-02, 1.50156572e-01
1.49401547e-02, 1.49602324e-01
1.51700033e-02, 1.49075389e-01
1.53998518e-02, 1.48555487e-01
1.56296995e-02, 1.48086801e-01
1.58595480e-02, 1.47625908e-01
1.60893966e-02, 1.47201955e-01
1.63192451e-02, 1.46791875e-01
1.65490936e-02, 1.46401063e-01
1.67789422e-02, 1.46030173e-01
1.70087907e-02, 1.45667419e-01
1.72386393e-02, 1.45331919e-01
1.74684878e-02, 1.45000964e-01
1.76983364e-02, 1.44694969e-01
1.79281849e-02, 1.44397482e-01
1.81580335e-02, 1.44115567e-01
1.83878820e-02, 1.43846124e-01
1.86177306e-02, 1.43583998e-01
1.88475791e-02, 1.43337920e-01
1.90774277e-02, 1.43095255e-01
1.93072762e-02, 1.42874867e-01
1.95371248e-02, 1.42665610e-01
1.97669733e-02, 1.42481565e-01
1.99968219e-02, 1.42322630e-01
2.02266704e-02, 1.42183423e-01
2.04565190e-02, 1.41901404e-01
2.06863675e-02, 1.41522512e-01
2.09162161e-02, 1.39329568e-01
2.11460646e-02, 1.35129258e-01
2.13759132e-02, 1.25430435e-01
2.16057617e-02, 1.13713436e-01
2.18356103e-02, 9.99934673e-02
2.20654588e-02, 9.37574729e-02
2.22953074e-02, 9.01789144e-02
2.25251559e-02, 1.09289728e-01
2.27550045e-02, 2.01234192e-01


