Y [ m ],Pressure [ Pa ]
0.00000000e+00, 4.24725703e+04
2.29848491e-04, 4.24717227e+04
4.59696981e-04, 4.24693047e+04
6.89545472e-04, 4.24633555e+04
9.19393962e-04, 4.24554609e+04
1.14924251e-03, 4.24458828e+04
1.37909106e-03, 4.24342344e+04
1.60893961e-03, 4.24210547e+04
1.83878816e-03, 4.24058984e+04
2.06863671e-03, 4.23893438e+04
2.29848525e-03, 4.23713008e+04
2.52833380e-03, 4.23520156e+04
2.75818235e-03, 4.23315078e+04
2.98803090e-03, 4.23095703e+04
3.21787945e-03, 4.22863984e+04
3.44772800e-03, 4.22611914e+04
3.67757655e-03, 4.22345938e+04
3.90742486e-03, 4.22058906e+04
4.13727341e-03, 4.21759688e+04
4.36712196e-03, 4.21446953e+04
4.59697051e-03, 4.21130469e+04
4.82681906e-03, 4.20808359e+04
5.05666761e-03, 4.20505195e+04
5.28651616e-03, 4.20203164e+04
5.51636470e-03, 4.19951563e+04
5.74621325e-03, 4.19721055e+04
5.97606180e-03, 4.19550156e+04
6.20591035e-03, 4.19437422e+04
6.43575890e-03, 4.19376914e+04
6.66560745e-03, 4.19412188e+04
6.89545600e-03, 4.19478203e+04
7.12530455e-03, 4.19657695e+04
7.35515309e-03, 4.19861641e+04
7.58500164e-03, 4.20132070e+04
7.81484973e-03, 4.20436289e+04
8.04469828e-03, 4.20776875e+04
8.27454682e-03, 4.21181406e+04
8.50439537e-03, 4.21616250e+04
8.73424392e-03, 4.22243359e+04
8.96409247e-03, 4.22971680e+04
9.19394102e-03, 4.24056914e+04
9.42378957e-03, 4.25424531e+04
9.65363812e-03, 4.27170547e+04
9.88348667e-03, 4.28987773e+04
1.01133352e-02, 4.30855234e+04
1.03431838e-02, 4.30742695e+04
1.05730323e-02, 4.29771719e+04
1.08028809e-02, 4.24701484e+04
1.10327294e-02, 4.17572656e+04
1.12625780e-02, 4.06944336e+04
1.14924265e-02, 3.94095273e+04
1.17222751e-02, 3.79718828e+04
1.19521236e-02, 3.66480469e+04
1.21819722e-02, 3.53699219e+04
1.24118207e-02, 3.45388750e+04
1.26416693e-02, 3.38360547e+04
1.28715178e-02, 3.34295078e+04
1.31013663e-02, 3.31469219e+04
1.33312149e-02, 3.29671484e+04
1.35610634e-02, 3.28303281e+04
1.37909120e-02, 3.27041406e+04
1.40207605e-02, 3.25642734e+04
1.42506091e-02, 3.24182871e+04
1.44804576e-02, 3.22572539e+04
1.47103062e-02, 3.20942012e+04
1.49401547e-02, 3.19291328e+04
1.51700033e-02, 3.17721602e+04
1.53998518e-02, 3.16172773e+04
1.56296995e-02, 3.14777227e+04
1.58595480e-02, 3.13405469e+04
1.60893966e-02, 3.12145547e+04
1.63192451e-02, 3.10928516e+04
1.65490936e-02, 3.09770820e+04
1.67789422e-02, 3.08674883e+04
1.70087907e-02, 3.07604395e+04
1.72386393e-02, 3.06617559e+04
1.74684878e-02, 3.05644883e+04
1.76983364e-02, 3.04748359e+04
1.79281849e-02, 3.03877988e+04
1.81580335e-02, 3.03055117e+04
1.83878820e-02, 3.02270781e+04
1.86177306e-02, 3.01509121e+04
1.88475791e-02, 3.00792813e+04
1.90774277e-02, 3.00084102e+04
1.93072762e-02, 2.99417422e+04
1.95371248e-02, 2.98761484e+04
1.97669733e-02, 2.98133555e+04
1.99968219e-02, 2.97548086e+04
2.02266704e-02, 2.96995469e+04
2.04565190e-02, 2.96550098e+04
2.06863675e-02, 2.96142891e+04
2.09162161e-02, 2.96125586e+04
2.11460646e-02, 2.95871406e+04
2.13759132e-02, 2.94961953e+04
2.16057617e-02, 3.02684570e+04
2.18356103e-02, 3.19045430e+04
2.20654588e-02, 3.75709609e+04
2.22953074e-02, 4.47120273e+04
2.25251559e-02, 5.33263750e+04
2.27550045e-02, 6.72114844e+04


