Y [ m ],Velocity u [ m s^-1 ]
0.00000000e+00, 2.04184741e+03
2.29848491e-04, 2.04186316e+03
4.59696981e-04, 2.04191455e+03
6.89545472e-04, 2.04205420e+03
9.19393962e-04, 2.04227002e+03
1.14924251e-03, 2.04256531e+03
1.37909106e-03, 2.04292114e+03
1.60893961e-03, 2.04332336e+03
1.83878816e-03, 2.04367883e+03
2.06863671e-03, 2.04402905e+03
2.29848525e-03, 2.04425574e+03
2.52833380e-03, 2.04442700e+03
2.75818235e-03, 2.04450635e+03
2.98803090e-03, 2.04451782e+03
3.21787945e-03, 2.04448999e+03
3.44772800e-03, 2.04440210e+03
3.67757655e-03, 2.04429626e+03
3.90742486e-03, 2.04414844e+03
4.13727341e-03, 2.04398425e+03
4.36712196e-03, 2.04379700e+03
4.59697051e-03, 2.04358838e+03
4.82681906e-03, 2.04336279e+03
5.05666761e-03, 2.04309985e+03
5.28651616e-03, 2.04282007e+03
5.51636470e-03, 2.04249829e+03
5.74621325e-03, 2.04215698e+03
5.97606180e-03, 2.04178394e+03
6.20591035e-03, 2.04137744e+03
6.43575890e-03, 2.04094116e+03
6.66560745e-03, 2.04045776e+03
6.89545600e-03, 2.03995154e+03
7.12530455e-03, 2.03939539e+03
7.35515309e-03, 2.03882178e+03
7.58500164e-03, 2.03822021e+03
7.81484973e-03, 2.03760474e+03
8.04469828e-03, 2.03697571e+03
8.27454682e-03, 2.03632617e+03
8.50439537e-03, 2.03566125e+03
8.73424392e-03, 2.03491553e+03
8.96409247e-03, 2.03411719e+03
9.19394102e-03, 2.03315149e+03
9.42378957e-03, 2.03204810e+03
9.65363812e-03, 2.03076135e+03
9.88348667e-03, 2.02940820e+03
1.01133352e-02, 2.02800977e+03
1.03431838e-02, 2.02729956e+03
1.05730323e-02, 2.02688672e+03
1.08028809e-02, 2.02794800e+03
1.10327294e-02, 2.02981030e+03
1.12625780e-02, 2.03304468e+03
1.14924265e-02, 2.03727856e+03
1.17222751e-02, 2.04219312e+03
1.19521236e-02, 2.04681445e+03
1.21819722e-02, 2.05128027e+03
1.24118207e-02, 2.05398901e+03
1.26416693e-02, 2.05612939e+03
1.28715178e-02, 2.05697095e+03
1.31013663e-02, 2.05722070e+03
1.33312149e-02, 2.05697681e+03
1.35610634e-02, 2.05651123e+03
1.37909120e-02, 2.05598145e+03
1.40207605e-02, 2.05548218e+03
1.42506091e-02, 2.05499951e+03
1.44804576e-02, 2.05457495e+03
1.47103062e-02, 2.05415112e+03
1.49401547e-02, 2.05372974e+03
1.51700033e-02, 2.05326367e+03
1.53998518e-02, 2.05277783e+03
1.56296995e-02, 2.05220972e+03
1.58595480e-02, 2.05161719e+03
1.60893966e-02, 2.05095825e+03
1.63192451e-02, 2.05026514e+03
1.65490936e-02, 2.04953052e+03
1.67789422e-02, 2.04875342e+03
1.70087907e-02, 2.04795203e+03
1.72386393e-02, 2.04710156e+03
1.74684878e-02, 2.04623291e+03
1.76983364e-02, 2.04532202e+03
1.79281849e-02, 2.04438867e+03
1.81580335e-02, 2.04342554e+03
1.83878820e-02, 2.04243701e+03
1.86177306e-02, 2.04142798e+03
1.88475791e-02, 2.04039819e+03
1.90774277e-02, 2.03935718e+03
1.93072762e-02, 2.03831714e+03
1.95371248e-02, 2.03728748e+03
1.97669733e-02, 2.03628955e+03
1.99968219e-02, 2.03532275e+03
2.02266704e-02, 2.03437939e+03
2.04565190e-02, 2.03310889e+03
2.06863675e-02, 2.03159460e+03
2.09162161e-02, 2.02535669e+03
2.11460646e-02, 2.01249817e+03
2.13759132e-02, 1.98149561e+03
2.16057617e-02, 1.91720459e+03
2.18356103e-02, 1.81972754e+03
2.20654588e-02, 1.63336182e+03
2.22953074e-02, 1.41435132e+03
2.25251559e-02, 6.32282959e+02
2.27550045e-02, 0.00000000e+00


