Y Location (m),Pressure (Pa)
-0.0,4134218.397117463
-0.0012155555555555557,4133170.4135109703
-0.0024311111111111113,4131545.7796924766
-0.003646666666666667,4128917.4554333193
-0.004862222222222223,4124438.0129534123
-0.006077777777777778,4116289.0483215624
-0.007293333333333334,4100156.1359626744
-0.008508888888888889,4064307.6211985676
-0.009724444444444445,3969622.3399742283
-0.01094,3622629.99125744
-0.01094,3622629.99125744
-0.01209,3340812.1908801016
-0.01324,2313643.2847759956
-0.014020000000000001,2313643.216299339
-0.0148,2313643.1683071484
-0.01595265306122449,1565999.5414283809
-0.01710530612244898,1289184.9367700545
-0.01825795918367347,1098363.7034723721
-0.01941061224489796,953556.42044646
-0.02056326530612245,838423.6492375891
-0.02171591836734694,744232.4418591007
-0.02286857142857143,665634.8299635237
-0.02402122448979592,599072.9525130831
-0.025173877551020407,542044.3641938411
-0.026326530612244898,492717.1979061475
-0.02747918367346939,449709.49390286696
-0.028631836734693876,411953.87706629315
-0.029784489795918367,378610.1710980574
-0.030937142857142857,349006.61216623336
-0.032089795918367345,322598.97061222943
-0.03324244897959183,298941.33839210786
-0.034395102040816326,277664.76979079534
-0.035547755102040814,258461.35743526518
-0.03670040816326531,241072.16011279565
-0.037853061224489795,225277.91647071595
-0.03900571428571428,210891.8097567193
-0.04015836734693877,197753.76633649482
-0.041311020408163264,185725.9171339057
-0.04246367346938775,174688.95174152634
-0.043616326530612246,164539.16537672756
-0.04476897959183673,155186.0489905073
-0.04592163265306122,146550.30906136753
-0.047074285714285714,138562.23013810106
-0.0482269387755102,131160.3128732668
-0.04937959183673469,124290.13504096986
-0.05053224489795918,117903.39421434184
-0.05168489795918367,111957.09932849492
-0.05283755102040816,106412.88495313446
-0.05399020408163265,101236.42723165541
-0.05514285714285714,96396.94446624973
-0.05629551020408163,91866.76850348129
-0.05744816326530612,87620.97559705909
-0.05860081632653061,83637.06744061902
-0.059753469387755095,79894.69468410593
-0.06090612244897959,76375.41655739443
-0.06205877551020408,73062.49128908366
-0.06321142857142856,69940.6928774167
-0.06436408163265306,66996.15048225538
-0.06551673469387755,64216.20729494894
-0.06666938775510203,61589.29622715224
-0.06782204081632653,59104.830163442995
-0.06897469387755101,56753.10485814033
-0.07012734693877551,54525.21283768936
-0.07128,52412.96690571998
